sample_id	biosample	patient_uid	bioproject	assembly_accession	disease_label	disease_label_provenance	country	region	platform	biopsy_site	study	role	local_fasta_path	local_sha256	source_url	inclusion_exclusion_reason
REF_26695	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000008525.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000008525.1.fna.gz	da612556546f9704dabaa8a394b6687bd75acbb2c631d2fb0bebbf489d537425	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1/GCF_000008525.1_ASM852v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_J99	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000008785.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000008785.1.fna.gz	d7f5723b5a8295451ea0608ab44788c01db2cd9c1d524b179192f401da2372cb	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/785/GCF_000008785.1_ASM878v1/GCF_000008785.1_ASM878v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_HPAG1	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000013245.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000013245.1.fna.gz	2c649bb617e3720aa377e141454b898e65845e35d6d16c5b44d4558fa3a3cc17	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/245/GCF_000013245.1_ASM1324v1/GCF_000013245.1_ASM1324v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_G27	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000021165.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000021165.1.fna.gz	83433c26419660baca34a5cb6c0d699994343aa587675918d2434d9aaa763115	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/165/GCF_000021165.1_ASM2116v1/GCF_000021165.1_ASM2116v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_P12	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000021465.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000021465.1.fna.gz	8cf605673df1ded2f4f2270968beb54a460c1f9485aae871ad8577ba82055522	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/465/GCF_000021465.1_ASM2146v1/GCF_000021465.1_ASM2146v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_B8	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000196755.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000196755.1.fna.gz	56c2b33cb51fc3c34fdaf363b54a844135177b9f9b9abb91cadb115c3ad75024	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/755/GCF_000196755.1_ASM19675v1/GCF_000196755.1_ASM19675v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_Shi470	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000020245.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000020245.1.fna.gz	b8ceec952946b3a0f4d0822be94f276d54919729dd615d44c7e443c8c4e173e6	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/245/GCF_000020245.1_ASM2024v1/GCF_000020245.1_ASM2024v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
REF_India7	NA	NOT_APPLICABLE_REFERENCE_STRAIN	NA	GCF_000185185.1	NOT_APPLICABLE_REFERENCE_STRAIN	NOT_APPLICABLE	UNKNOWN_REFERENCE_STRAIN	UNKNOWN	NA_ASSEMBLY_ONLY	UNKNOWN	G5_REFERENCE_PANEL	REFERENCE_LINEAGE_ANCHOR	data/reference/g7_panel/GCF_000185185.1.fna.gz	62c9eaa2211caf0667008969dce26d93eb5feedc43e79ae491f276694c0521e3	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/185/185/GCF_000185185.1_ASM18518v1/GCF_000185185.1_ASM18518v1_genomic.fna.gz	INCLUDED: diverse global reference strain used for G5 catalogue; lineage anchoring only, disease-blind
SAMN10919737	SAMN10919737	NA	PRJNA521871	GCA_011174935	UNKNOWN	BioSample.host_disease	Nicaragua	Managua	NA_ASSEMBLY_ONLY	UNKNOWN	PRJNA521871	UNKNOWN_DISEASE_CONTEXT_ASSEMBLY	data/reference/g7_prjna521871/GCA_011174935.1_ASM1117493v1.fna.gz	40cb328c4af3c417a6f1451249fefe44012fb03a4e5cb5313bdfe84628f5c474	https://www.ebi.ac.uk/ena/browser/view/GCA_011174935	INCLUDED as UNKNOWN-disease context (host_disease = 'Gastritis' without qualifier, not mapped to a Correa stage per G2 rules); structure-only, no disease label used
SAMN10919736	SAMN10919736	PRJNA521871|HEALF29488	PRJNA521871	GCA_011174945	AG	BioSample.host_disease	Nicaragua	Managua	NA_ASSEMBLY_ONLY	CORPUS	PRJNA521871	DISEASE_LABELED_CONTEXT_ASSEMBLY	data/reference/g7_prjna521871/GCA_011174945.1_ASM1117494v1.fna.gz	da1e9b838a9675f1d8ed8217d68313ca8f243bab034aba50001d4e56b0c11148	https://www.ebi.ac.uk/ena/browser/view/GCA_011174945	INCLUDED: disease-labelled (BioSample host_disease field, EXPLICIT for AG/IM), patient_uid CONFIRMED via host_subject_id, public assembly available; publication not found (REPOSITORY_ONLY) so disease label rests on the BioSample field alone, not a peer-reviewed sample-level table -- used for population-structure screening only, not primary disease inference
