run_accession	biosample	expected_in_run_linkage	biosample_in_g7_proposal	local_dir_present	local_files	n_local_files	actual_bytes	expected_bytes_est	gzip_integrity	sha256_prefix_per_file	byte_match	md5_check	run_status
SRR13089477	SAMN16801852	YES	YES	YES	SRR13089477_1.fastq.gz;SRR13089477_2.fastq.gz	2	863466081	863466081	OK	SRR13089477_1.fastq.gz:e876df7f7a512bbf;SRR13089477_2.fastq.gz:64a856cd7a8c43d2	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089478	SAMN16801851	YES	YES	YES	SRR13089478_1.fastq.gz;SRR13089478_2.fastq.gz	2	888765575	888765575	OK	SRR13089478_1.fastq.gz:36881953925bf466;SRR13089478_2.fastq.gz:6b0c7632eb2b2168	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089479	SAMN16801850	YES	YES	YES	SRR13089479_1.fastq.gz;SRR13089479_2.fastq.gz	2	795419067	795419067	OK	SRR13089479_1.fastq.gz:c38273d5b730f3e2;SRR13089479_2.fastq.gz:54bbe59d4054e7fd	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089480	SAMN16801849	YES	YES	YES	SRR13089480_1.fastq.gz;SRR13089480_2.fastq.gz	2	867198670	867198670	OK	SRR13089480_1.fastq.gz:baae23ca4c3794d7;SRR13089480_2.fastq.gz:2342460bbc3c27c8	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089481	SAMN16801848	YES	YES	YES	SRR13089481_1.fastq.gz;SRR13089481_2.fastq.gz	2	928958275	928958275	OK	SRR13089481_1.fastq.gz:733ed246f8d309c1;SRR13089481_2.fastq.gz:9c1d966285802d90	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089482	SAMN16801847	YES	YES	YES	SRR13089482_1.fastq.gz;SRR13089482_2.fastq.gz	2	988218134	988218134	OK	SRR13089482_1.fastq.gz:f60ab7b448dda31c;SRR13089482_2.fastq.gz:e0520f83ea44c283	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089483	SAMN16801846	YES	YES	YES	SRR13089483_1.fastq.gz;SRR13089483_2.fastq.gz	2	920450467	920450467	OK	SRR13089483_1.fastq.gz:e0a253040d7aeba0;SRR13089483_2.fastq.gz:e4a4c1461638cfe0	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089484	SAMN16801845	YES	YES	YES	SRR13089484_1.fastq.gz;SRR13089484_2.fastq.gz	2	844748040	844748040	OK	SRR13089484_1.fastq.gz:375a0e509c8eb7eb;SRR13089484_2.fastq.gz:327ebbbc2bc50cc4	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089485	SAMN16801844	YES	YES	YES	SRR13089485_1.fastq.gz;SRR13089485_2.fastq.gz	2	875437561	875437561	OK	SRR13089485_1.fastq.gz:a51e698cea74ead8;SRR13089485_2.fastq.gz:d7dcd873276d20ae	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
SRR13089486	SAMN16801843	YES	YES	YES	SRR13089486_1.fastq.gz;SRR13089486_2.fastq.gz	2	863184495	863184495	OK	SRR13089486_1.fastq.gz:c4fa2e9e0fb0424f;SRR13089486_2.fastq.gz:d4ddca45df32be5e	YES	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY
