bioproject	biosample	run_accession	cohort_role	patient_unit_or_basis	library_layout	instrument	fastq_url_1	fastq_url_2	fastq_url_unpaired	expected_bytes	expected_bytes_1	expected_bytes_2	expected_bytes_unpaired	expected_md5_1	expected_md5_2	expected_md5_unpaired	ena_read_count	ena_base_count	local_path_1	local_path_2	local_path_unpaired	download_status	checksum_status	actual_bytes
PRJNA678459	SAMN16801852	SRR13089477	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	863466081	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089477/SRR13089477_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089477/SRR13089477_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	863466081
PRJNA678459	SAMN16801851	SRR13089478	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	888765575	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089478/SRR13089478_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089478/SRR13089478_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	888765575
PRJNA678459	SAMN16801850	SRR13089479	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	795419067	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089479/SRR13089479_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089479/SRR13089479_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	795419067
PRJNA678459	SAMN16801849	SRR13089480	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	867198670	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089480/SRR13089480_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089480/SRR13089480_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	867198670
PRJNA678459	SAMN16801848	SRR13089481	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	928958275	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089481/SRR13089481_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089481/SRR13089481_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	928958275
PRJNA678459	SAMN16801847	SRR13089482	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	988218134	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089482/SRR13089482_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089482/SRR13089482_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	988218134
PRJNA678459	SAMN16801846	SRR13089483	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	920450467	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089483/SRR13089483_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089483/SRR13089483_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	920450467
PRJNA678459	SAMN16801845	SRR13089484	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	844748040	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089484/SRR13089484_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089484/SRR13089484_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	844748040
PRJNA678459	SAMN16801844	SRR13089485	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	875437561	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089485/SRR13089485_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089485/SRR13089485_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	875437561
PRJNA678459	SAMN16801843	SRR13089486	G7_FOLLOWUP_TARGETED_RAW_READ_PROSPECTIVE_REPLICATION_CANDIDATE	CONFIRMED_EXACT_MAPPING_REPOSITORY_LEVEL_ONLY_NO_PUBLICATION (see metadata/g7/g7_disease_cohort_verification.tsv)	PAIRED	Illumina HiSeq 1500	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA_LOCAL_ONLY_NO_NETWORK_THIS_RUN	NA	863184495	NA	NA	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NA	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	NOT_AVAILABLE_NO_NETWORK_ACCESS_THIS_RUN	data/raw/g7_followup/PRJNA678459/SRR13089486/SRR13089486_1.fastq.gz	data/raw/g7_followup/PRJNA678459/SRR13089486/SRR13089486_2.fastq.gz	NA	PRE_EXISTING_LOCAL_REUSED_NOT_DOWNLOADED_THIS_RUN	PASS_SIZE_AND_GZIP_ONLY	863184495
