param_id	value	description	calibration_basis
anchor_len	25	Anchor length (bp) taken from the flank next to the tract on each side (max 40).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
seed_k	12	k-mer length of the seed index built on anchors.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
seed_stride	4	Reads are probed for seeds every this many bases (must be <= anchor_len-seed_k+1 for guaranteed exact-anchor hit).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_anchor_mismatch	2	Max mismatches allowed per anchor at extraction.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_tract_scan_len	150	Longest read tract (bp) between anchors kept as evidence at extraction.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
min_read_len	40	Reads shorter than this are ignored.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
pe_conflict_policy	DROP	Overlapping mates spanning with different tracts: DROP (fragment discarded, counted) or BEST (higher anchor quality mate).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_tract_len_call	100	Tract lengths above this in the catalogue are not callable (RD07).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
min_anchor_mean_q	20.0	Minimum mean base quality over both anchors of a spanning read.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_total_anchor_mismatch	3	Max summed left+right anchor mismatches for a read to count at call stage.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
max_tract_mismatch	1	Unit-aligned tracts with more mismatches than this vs pure repeat are discarded as discordant (0 = strict).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
min_spanning_reads	8	Minimum spanning fragments (after filters) for a callable locus.	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
min_top2_fraction	0.8	Top two alleles must hold at least this fraction of unit-aligned reads, else UNCALLABLE (diffuse).	draft default retained after synthetic benchmark (no change needed); extraction parameters unchanged from the evidence caches
