panel	category	value
A	Boundary stable	400
A	Boundary ambiguous	48
A	Orthology ambiguous	497
A	Insufficient to resolve	460
B	platform_study_confounded	182
B	other_caller_eligible	1014
D	KNOWN_PV_catalogue	8
D	KNOWN_PV_primary	0
C	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5	662
C	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS	497
C	BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE	460
C	PLATFORM_CONFOUNDED_CALLABILITY	182
C	BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS	48
C	KNOWN_PV_INSUFFICIENT_EMPIRICAL_VALIDATION	8
E	MONO_AT	261
