panel	category	subgroup	value
A	PRJNA490474	NAG	0
A	PRJNA490474	AG	110
A	PRJNA490474	IM	0
A	PRJNA490474	DYS	0
A	PRJNA490474	GC	0
A	PRJNA482300	NAG	29
A	PRJNA482300	AG	20
A	PRJNA482300	IM	0
A	PRJNA482300	DYS	0
A	PRJNA482300	GC	38
A	PRJNA203445	NAG	40
A	PRJNA203445	AG	0
A	PRJNA203445	IM	12
A	PRJNA203445	DYS	0
A	PRJNA203445	GC	23
A	PRJNA690879	NAG	0
A	PRJNA690879	AG	66
A	PRJNA690879	IM	0
A	PRJNA690879	DYS	0
A	PRJNA690879	GC	1
A	PRJNA1073547	NAG	46
A	PRJNA1073547	AG	1
A	PRJNA1073547	IM	0
A	PRJNA1073547	DYS	0
A	PRJNA1073547	GC	0
A	PRJNA681870	NAG	34
A	PRJNA681870	AG	1
A	PRJNA681870	IM	2
A	PRJNA681870	DYS	0
A	PRJNA681870	GC	9
A	PRJNA816422	NAG	22
A	PRJNA816422	AG	20
A	PRJNA816422	IM	0
A	PRJNA816422	DYS	0
A	PRJNA816422	GC	0
A	PRJNA1136026	NAG	19
A	PRJNA1136026	AG	0
A	PRJNA1136026	IM	0
A	PRJNA1136026	DYS	0
A	PRJNA1136026	GC	19
A	PRJNA601302	NAG	31
A	PRJNA601302	AG	0
A	PRJNA601302	IM	4
A	PRJNA601302	DYS	0
A	PRJNA601302	GC	2
A	PRJNA395900	NAG	0
A	PRJNA395900	AG	0
A	PRJNA395900	IM	1
A	PRJNA395900	DYS	0
A	PRJNA395900	GC	19
A	PRJNA242766	NAG	0
A	PRJNA242766	AG	11
A	PRJNA242766	IM	8
A	PRJNA242766	DYS	0
A	PRJNA242766	GC	0
A	PRJNA521871	NAG	0
A	PRJNA521871	AG	9
A	PRJNA521871	IM	10
A	PRJNA521871	DYS	0
A	PRJNA521871	GC	0
A	PRJDB5843	NAG	0
A	PRJDB5843	AG	0
A	PRJDB5843	IM	0
A	PRJDB5843	DYS	0
A	PRJDB5843	GC	18
A	PRJNA352848	NAG	1
A	PRJNA352848	AG	0
A	PRJNA352848	IM	14
A	PRJNA352848	DYS	0
A	PRJNA352848	GC	0
A	PRJNA360417	NAG	5
A	PRJNA360417	AG	1
A	PRJNA360417	IM	6
A	PRJNA360417	DYS	1
A	PRJNA360417	GC	0
A	PRJNA984677	NAG	8
A	PRJNA984677	AG	0
A	PRJNA984677	IM	5
A	PRJNA984677	DYS	0
A	PRJNA984677	GC	0
A	PRJNA338771	NAG	1
A	PRJNA338771	AG	0
A	PRJNA338771	IM	10
A	PRJNA338771	DYS	0
A	PRJNA338771	GC	1
A	PRJNA479414	NAG	10
A	PRJNA479414	AG	1
A	PRJNA479414	IM	0
A	PRJNA479414	DYS	0
A	PRJNA479414	GC	1
A	PRJNA342930	NAG	0
A	PRJNA342930	AG	0
A	PRJNA342930	IM	0
A	PRJNA342930	DYS	0
A	PRJNA342930	GC	11
A	PRJNA678459	NAG	0
A	PRJNA678459	AG	5
A	PRJNA678459	IM	0
A	PRJNA678459	DYS	0
A	PRJNA678459	GC	5
A	PRJNA604073	NAG	6
A	PRJNA604073	AG	0
A	PRJNA604073	IM	3
A	PRJNA604073	DYS	0
A	PRJNA604073	GC	0
A	PRJNA1034282	NAG	0
A	PRJNA1034282	AG	0
A	PRJNA1034282	IM	4
A	PRJNA1034282	DYS	0
