bioproject	n_biosamples_total	n_correa_biosamples	country	platform	g7_publication_found	pmid	doi	g7_patient_independence_status	g7_independent_patient_count	disease_label_provenance	public_sequence_confirmed	same_patient_multi_isolate	g7_source_verification_status	notes
PRJDB10121	10	5	Japan	PACBIO_LONG	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJDB5843	60	18	Japan;UNKNOWN	PACBIO_LONG	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1011037	1	1	Russia	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1013907	18	1	France	ONT_LONG	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1034282	8	8	Iran	ILLUMINA_SHORT	NO	NA	NA	NOT_ESTABLISHED	UNKNOWN	BIOSAMPLE_FIELD_ONLY	YES (267 SRA runs, ENA/NCBI)	UNKNOWN	PATIENT_INDEPENDENCE_NOT_ESTABLISHED	"Renewed search (EuropePMC accession search, PubMed keyword search combining ""Iran""+""Helicobacter pylori""+""267 isolates""/""whole genome sequencing""/""MiSeq"", and ""Gothenburg""+""Iran""+""Thorell""+""Helicobacter pylori"") found no dedicated publication describing this BioProject's isolate set, consistent with prior workstream conclusion (PV0001/PV0002, DC060/DC061: NO_PUBLICATION_FOUND). BioProject submitter appears to be University of Gothenburg (a group active in global H. pylori genomics, e.g. HpGP/Tho"
PRJNA1037030	8	8	Colombia	ONT_LONG	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	CONFLICT (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1056683	1	1	South Korea	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	NOT_HIGH_PRIORITY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1073547	47	47	Sweden	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	REPOSITORY_ONLY (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
PRJNA1103397	6	6	China	ILLUMINA_SHORT	YES (established at G3)	NA	NA	CONFIRMED_AT_G3	0	SAMPLE_LEVEL_PUBLICATION_TABLE_OR_STRAIN_FIELD (G3)	YES	NO (G3 finding)	SOURCE_VERIFIED_AT_G3_NOT_REVISITED	Established at G3 disease pilot selection (metadata/g3/g3_disease_pilot_manifest.tsv, reports/checkpoints/G3_CHECKPOINT.md); not re-verified in G7.
PRJNA1136026	38	38	Sweden	UNKNOWN	NOT_REVIEWED_IN_G7	NA	NA	NONE	NOT_REVIEWED_IN_G7	SEE_G2/G3_HARMONIZATION	SEE_G1_INVENTORY	UNKNOWN	SOURCE_VERIFIED_PARTIAL (G3 status, not re-verified in G7 -- outside the 5 prioritized + 1 already-tracked bounded review)	Not in the G7-prioritized cohort list; G3 screen_class/verification preserved unchanged. Available for a future bounded review if re-prioritized.
