bioproject	biosample	run_accession	cohort_role	disease_harmonized	patient_unit_or_basis	library_layout	instrument	fastq_url_1	fastq_url_2	fastq_url_unpaired	expected_bytes	expected_bytes_1	expected_bytes_2	expected_bytes_unpaired	expected_md5_1	expected_md5_2	expected_md5_unpaired	ena_read_count	ena_base_count	local_path_1	local_path_2	local_path_unpaired	download_status	checksum_status	actual_bytes
PRJNA1103397	SAMN41067854	SRR28961344	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/044/SRR28961344/SRR28961344.fastq.gz	NA	NA	168025330	168025330	NA	NA	a3f84133c1d1e0ae10c1f7f3fb3f6e61	NA	NA	3282450	492367500	data/raw/g4_phase1/PRJNA1103397/SRR28961344/SRR28961344.fastq.gz	NA	NA	DOWNLOADED	PASS	168025330
PRJNA1103397	SAMN41067852	SRR28961346	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/046/SRR28961346/SRR28961346.fastq.gz	NA	NA	154573297	154573297	NA	NA	3bd23cdc7966c282fc55a7f51de1c5da	NA	NA	3007574	451136100	data/raw/g4_phase1/PRJNA1103397/SRR28961346/SRR28961346.fastq.gz	NA	NA	DOWNLOADED	PASS	154573297
PRJNA1103397	SAMN41067851	SRR28961349	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/049/SRR28961349/SRR28961349.fastq.gz	NA	NA	214532333	214532333	NA	NA	cbdb0b35100bc18a2c6ac59ea798897c	NA	NA	4005889	600883350	data/raw/g4_phase1/PRJNA1103397/SRR28961349/SRR28961349.fastq.gz	NA	NA	DOWNLOADED	PASS	214532333
PRJNA1103397	SAMN41067850	SRR28961350	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/050/SRR28961350/SRR28961350.fastq.gz	NA	NA	238700433	238700433	NA	NA	f6e5707d8318e53938bf45c8acec531b	NA	NA	4371859	660150709	data/raw/g4_phase1/PRJNA1103397/SRR28961350/SRR28961350.fastq.gz	NA	NA	DOWNLOADED	PASS	238700433
PRJNA1103397	SAMN41067853	SRR28961345	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/045/SRR28961345/SRR28961345.fastq.gz	NA	NA	178827108	178827108	NA	NA	fc60df64d67bb6645cd8b2898c26ff64	NA	NA	3368091	505213650	data/raw/g4_phase1/PRJNA1103397/SRR28961345/SRR28961345.fastq.gz	NA	NA	DOWNLOADED	PASS	178827108
PRJNA1103397	SAMN41067855	SRR28961343	DISEASE_PILOT	GC	EXPLICIT_PUBLICATION_STATEMENT_ONE_SELECTED_ISOLATE_PER_PATIENT (PMID 40197242; no patient_uid invented)	SINGLE	Illumina NovaSeq 6000	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/043/SRR28961343/SRR28961343.fastq.gz	NA	NA	181286431	181286431	NA	NA	f6ab0d530825b6f9ed29b7312d1d6dab	NA	NA	3390695	508604250	data/raw/g4_phase1/PRJNA1103397/SRR28961343/SRR28961343.fastq.gz	NA	NA	DOWNLOADED	PASS	181286431
PRJNA360417	SAMN06246757	SRR5298520	DISEASE_PILOT	NAG	PRJNA360417|PZ5005	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298520/SRR5298520_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298520/SRR5298520_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/000/SRR5298520/SRR5298520.fastq.gz	37600031	15933796	20475234	1191001	281867a8c88f62d2120666e0ef317183	b81201af241d5bcbbb5c8613e144258d	86e7e7b1ab8fe1c444ae4493caa00591	185636	90039041	data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520.fastq.gz	DOWNLOADED	PASS	37600031
PRJNA360417	SAMN06210232	SRR5298532	DISEASE_PILOT	NAG	PRJNA360417|PZ5009	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298532/SRR5298532_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298532/SRR5298532_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/002/SRR5298532/SRR5298532.fastq.gz	58250524	24174278	32273706	1802540	38c9002759b7d4162cd05c0ba49310e7	77821558bd0dd4e4551f13b4994cdeaf	c69c6cc948a8820d1c34a9b54621da68	294392	143945079	data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532.fastq.gz	DOWNLOADED	PASS	58250524
PRJNA360417	SAMN06246899	SRR5298523	DISEASE_PILOT	IM	PRJNA360417|PZ5019	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/003/SRR5298523/SRR5298523_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/003/SRR5298523/SRR5298523_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/003/SRR5298523/SRR5298523.fastq.gz	26286589	11095374	14578739	612476	c5f80910b64135e160e0b7e8b316f9da	13c27278622429e814c3904881aa244b	e6a831a9b41d0cf90210e2d1c94d501f	123342	60260830	data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523.fastq.gz	DOWNLOADED	PASS	26286589
PRJNA360417	SAMN06250661	SRR5298524	DISEASE_PILOT	IM	PRJNA360417|PZ5033	PAIRED	Illumina MiSeq	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/004/SRR5298524/SRR5298524_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/004/SRR5298524/SRR5298524_2.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR529/004/SRR5298524/SRR5298524.fastq.gz	72906194	31696588	39124204	2085402	f103cb038aaef87ad0201477d7ec4146	3e2f0c3d57f39b8a41b5db4839ac8234	12cf8ae47e6c2e2f98c70cb972c071fc	398733	193441041	data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524_1.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524_2.fastq.gz	data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524.fastq.gz	DOWNLOADED	PASS	72906194
