bioproject	biosample	run_accession	library_layout	instrument	fastq_paths	g5_use	g5_use_rule	disease_label_included
PRJNA1103397	SAMN41067854	SRR28961344	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961344/SRR28961344.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA1103397	SAMN41067852	SRR28961346	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961346/SRR28961346.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA1103397	SAMN41067851	SRR28961349	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961349/SRR28961349.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA1103397	SAMN41067850	SRR28961350	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961350/SRR28961350.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA1103397	SAMN41067853	SRR28961345	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961345/SRR28961345.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA1103397	SAMN41067855	SRR28961343	SINGLE	Illumina NovaSeq 6000	data/raw/g4_phase1/PRJNA1103397/SRR28961343/SRR28961343.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06246757	SRR5298520	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298520/SRR5298520.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06210232	SRR5298532	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298532/SRR5298532.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06246899	SRR5298523	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298523/SRR5298523.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
PRJNA360417	SAMN06250661	SRR5298524	PAIRED	Illumina MiSeq	data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524_1.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524_2.fastq.gz;data/raw/g4_phase1/PRJNA360417/SRR5298524/SRR5298524.fastq.gz	POST_FREEZE_PLATFORM_TRANSFER_ONLY	not read by any development or tuning step; applied only after g5_caller_rules.tsv sha256 is frozen	NO
