bioproject	biosample	run_accession	cohort_role	ena_layout	instrument	n_files	checksum_status	actual_bytes	format_errors	unpaired_reads	reads_or_pairs	total_reads	total_bases	est_depth_x	read_len_min	read_len_median	read_len_max	read_len_mean	n_fraction	gc_fraction	identity_hplike_read_fraction	q20_fraction	q30_fraction	adapter_trimmed_read_fraction	duplication_rate	fastqc_status	status	rules_failed	rules_warned
PRJNA1103397	SAMN41067854	SRR28961344	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	168025330	NONE	0	3282450	3282450	492367500	298.4	150	150	150	150.0	4.4e-05	0.383	0.7129	1	1	0.0	0.4474	OK	PASS	NA	NA
PRJNA1103397	SAMN41067852	SRR28961346	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	154573297	NONE	0	3007574	3007574	451136100	273.4	150	150	150	150.0	4.4e-05	0.3891	0.7308	1	1	0.0	0.3711	OK	PASS	NA	NA
PRJNA1103397	SAMN41067851	SRR28961349	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	214532333	NONE	0	4005889	4005889	600883350	364.2	150	150	150	150.0	0.0	0.3898	0.7794	1	1	0.0	0.4233	OK	PASS	NA	NA
PRJNA1103397	SAMN41067850	SRR28961350	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	238700433	NONE	0	4371859	4371859	660150709	400.1	151	151	151	151.0	2e-06	0.3872	0.749	1	1	0.0	0.4256	OK	PASS	NA	NA
PRJNA1103397	SAMN41067853	SRR28961345	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	178827108	NONE	0	3368091	3368091	505213650	306.2	150	150	150	150.0	2e-06	0.3886	0.7339	1	1	0.0	0.4253	OK	PASS	NA	NA
PRJNA1103397	SAMN41067855	SRR28961343	DISEASE_PILOT	SINGLE	Illumina NovaSeq 6000	1	PASS	181286431	NONE	0	3390695	3390695	508604250	308.2	150	150	150	150.0	2e-06	0.3889	0.7461	1	1	0.0	0.456	OK	PASS	NA	NA
PRJNA360417	SAMN06246757	SRR5298520	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	37600031	NONE	10103	185636	361169	90039041	54.6	15	251	251	249.3	0.0	0.395	0.9336	0.949	0.9269	0.0037	0.0001	OK	PASS	NA	NA
PRJNA360417	SAMN06210232	SRR5298532	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	58250524	NONE	14988	294392	573796	143945079	87.2	110	251	251	250.9	0.0	0.3912	0.9116	0.9449	0.9247	0.0181	0.0001	OK	PASS	NA	NA
PRJNA360417	SAMN06246899	SRR5298523	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	26286589	NONE	5134	123342	241550	60260830	36.5	15	251	251	249.5	0.0	0.3949	0.9405	0.9483	0.9261	0.0034	0.0001	OK	PASS	NA	NA
PRJNA360417	SAMN06250661	SRR5298524	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	72906194	NONE	20507	398733	776959	193441041	117.2	15	251	251	249.0	0.0	0.3922	0.9134	0.955	0.938	0.0015	0.0002	OK	PASS	NA	NA
PRJNA360417	SAMN06246878	SRR5298522	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	23163669	NONE	9831	110176	210521	51962456	31.5	15	251	251	246.8	0.0	0.4008	0.9459	0.9478	0.925	0.0043	0.0001	OK	PASS	NA	NA
PRJNA360417	SAMN06250733	SRR5298526	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	30197917	NONE	4725	117195	229665	57283454	34.7	15	251	251	249.4	0.0	0.3964	0.9204	0.8857	0.8354	0.0062	0	OK	PASS	NA	NA
PRJNA360417	SAMN06250976	SRR5298527	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	30512172	NONE	4256	117972	231688	57806591	35.0	15	251	251	249.5	0.0	0.3954	0.9182	0.8851	0.8348	0.0057	0	OK	PASS	NA	NA
PRJNA360417	SAMN06251160	SRR5298529	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	29366590	NONE	4177	113107	222037	55731287	33.8	251	251	251	251.0	0.0	0.3972	0.9175	0.8839	0.8335	0.0665	0.0	OK	PASS	NA	NA
PRJNA360417	SAMN06251163	SRR5298530	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	26299059	NONE	4590	101317	198044	49157857	29.8	15	251	251	248.2	0.0	0.3935	0.9132	0.8838	0.8331	0.0095	0.0	OK	PASS	NA	NA
PRJNA360417	SAMN06251192	SRR5298531	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	30047107	NONE	4987	117386	229785	57315666	34.7	15	251	251	249.4	0.0	0.3953	0.9284	0.887	0.8372	0.0065	0.0	OK	PASS	NA	NA
PRJNA360417	SAMN06246771	SRR5298521	DISEASE_PILOT	PAIRED	Illumina MiSeq	2	PASS	64564980	NONE	0	186826	373652	93714305	56.8	87	251	251	250.8	0.0	0.3964	0.8326	0.9464	0.9234	0.0445	0.0002	OK	PASS	NA	NA
PRJNA360417	SAMN06250692	SRR5298525	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	28262836	NONE	4274	106476	208678	52044495	31.5	16	251	251	249.4	0.0	0.3944	0.9073	0.8727	0.8189	0.0083	0	OK	PASS	NA	NA
PRJNA360417	SAMN06251087	SRR5298528	DISEASE_PILOT	PAIRED	Illumina MiSeq	3	PASS	24947850	NONE	23564	104288	185012	44047436	26.7	15	251	251	238.1	0.0	0.4017	0.9071	0.8799	0.8275	0.0236	0	OK	PASS	NA	NA
PRJNA622860	SAMN14531021	SRR11474127	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	223307627	NONE	0	600346	1200692	301229506	182.6	35	298	300	250.9	7e-06	0.402	0.9936	0.8962	0.7984	0.0718	0.0055	OK	PASS	NA	NA
PRJNA622860	SAMN14531022	SRR11474126	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	118020564	NONE	0	310489	620978	160030582	97.0	35	299	300	257.7	1e-05	0.3908	0.9905	0.8991	0.801	0.0707	0.0017	OK	PASS	NA	NA
PRJNA622860	SAMN14531023	SRR11474115	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	339807545	NONE	0	800966	1601932	445066325	269.7	35	300	300	277.8	2e-06	0.398	0.9906	0.8748	0.7638	0.0486	0.0016	OK	PASS	NA	NA
PRJNA622860	SAMN14531024	SRR11474104	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	163175990	NONE	0	368034	736068	208939429	126.6	35	300	300	283.9	2e-06	0.3981	0.9909	0.8618	0.743	0.0363	0.0003	OK	WARNING	NA	Q09
PRJNA622860	SAMN14531025	SRR11474094	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	250737577	NONE	0	617363	1234726	335958055	203.6	35	300	300	272.1	7e-06	0.3951	0.9887	0.8895	0.7849	0.0459	0.002	OK	PASS	NA	NA
PRJNA622860	SAMN14531026	SRR11474093	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	251159804	NONE	0	669587	1339174	341462226	206.9	35	299	300	255.0	8e-06	0.3983	0.9904	0.8988	0.802	0.0691	0.0039	OK	PASS	NA	NA
PRJNA622860	SAMN14531027	SRR11474092	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	205348488	NONE	0	538666	1077332	277285189	168.1	35	299	300	257.4	4e-06	0.3989	0.9932	0.8935	0.7946	0.0602	0.0026	OK	PASS	NA	NA
PRJNA622860	SAMN14531028	SRR11474130	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	305294445	NONE	0	827090	1654180	417622157	253.1	35	298	300	252.5	6e-06	0.3973	0.9951	0.9021	0.8076	0.067	0.0046	OK	PASS	NA	NA
PRJNA622860	SAMN14531029	SRR11474129	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	179392042	NONE	0	467360	934720	240559697	145.8	35	299	300	257.4	5e-06	0.3999	0.9944	0.89	0.7893	0.0652	0.0018	OK	PASS	NA	NA
PRJNA622860	SAMN14531030	SRR11474128	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	143634402	NONE	0	356381	712762	191346051	116.0	35	299	300	268.5	3e-06	0.3973	0.9949	0.8844	0.7796	0.065	0.0009	OK	PASS	NA	NA
PRJNA622860	SAMN14531031	SRR11474125	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	160842001	NONE	0	387158	774316	212979556	129.1	35	300	300	275.1	4e-06	0.3984	0.9913	0.8791	0.7714	0.0536	0.0009	OK	PASS	NA	NA
PRJNA622860	SAMN14531032	SRR11474124	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	122976206	NONE	0	266380	532760	147558415	89.4	35	300	300	277.0	3e-06	0.3982	0.9893	0.8194	0.6821	0.0782	0.0001	OK	WARNING	NA	Q09
PRJNA622860	SAMN14531033	SRR11474123	WITHIN_HOST_VALIDATION	PAIRED	Illumina MiSeq	2	PASS	184357075	NONE	0	1210661	2421322	284077373	172.2	35	104	250	117.3	0.00033	0.3925	0.981	0.9769	0.9693	0.0047	0.0468	OK	PASS	NA	NA
