record_type	bioproject	biosample	run_accession	instrument	layout	est_depth_x	read_len_mean	eligible_loci	callable_loci	callable_fraction	callable_high	callable_medium	callable_low	median_spanning_reads	mixed_flag_MIXED	mixture_candidate	known_or_strong_callable
SAMPLE	PRJNA360417	SAMN06210232	SRR5298532	Illumina MiSeq	PAIRED	87.2	250.9	1187	518	0.4364	505	11	2	63.0	0	7	47
SAMPLE	PRJNA360417	SAMN06246757	SRR5298520	Illumina MiSeq	PAIRED	54.6	249.3	1183	486	0.4108	441	37	8	34.0	0	2	46
SAMPLE	PRJNA360417	SAMN06246771	SRR5298521	Illumina MiSeq	PAIRED	56.8	250.8	1185	512	0.4321	453	54	5	30.0	3	5	42
SAMPLE	PRJNA360417	SAMN06246878	SRR5298522	Illumina MiSeq	PAIRED	31.5	246.8	1183	482	0.4074	245	208	29	20.0	1	2	39
SAMPLE	PRJNA360417	SAMN06246899	SRR5298523	Illumina MiSeq	PAIRED	36.5	249.5	1186	508	0.4283	340	151	17	23.0	1	1	41
SAMPLE	PRJNA360417	SAMN06250661	SRR5298524	Illumina MiSeq	PAIRED	117.2	249.0	1185	508	0.4287	501	5	2	85.0	0	7	48
SAMPLE	PRJNA360417	SAMN06250692	SRR5298525	Illumina MiSeq	PAIRED	31.5	249.4	1187	481	0.4052	151	288	42	17	0	6	47
SAMPLE	PRJNA360417	SAMN06250733	SRR5298526	Illumina MiSeq	PAIRED	34.7	249.4	1186	494	0.4165	245	225	24	20.0	0	4	46
SAMPLE	PRJNA360417	SAMN06250976	SRR5298527	Illumina MiSeq	PAIRED	35.0	249.5	1184	476	0.402	257	201	18	20.0	0	4	39
SAMPLE	PRJNA360417	SAMN06251087	SRR5298528	Illumina MiSeq	PAIRED	26.7	238.1	1186	406	0.3423	31	281	94	13.0	0	4	42
SAMPLE	PRJNA360417	SAMN06251160	SRR5298529	Illumina MiSeq	PAIRED	33.8	251.0	1184	480	0.4054	167	286	27	17.0	0	3	39
SAMPLE	PRJNA360417	SAMN06251163	SRR5298530	Illumina MiSeq	PAIRED	29.8	248.2	1186	480	0.4047	123	320	37	17.0	0	4	44
SAMPLE	PRJNA360417	SAMN06251192	SRR5298531	Illumina MiSeq	PAIRED	34.7	249.4	1185	493	0.416	229	237	27	19	0	5	41
SAMPLE	PRJNA622860	SAMN14531021	SRR11474127	Illumina MiSeq	PAIRED	182.6	250.9	1187	593	0.4996	582	8	3	74	0	14	60
SAMPLE	PRJNA622860	SAMN14531022	SRR11474126	Illumina MiSeq	PAIRED	97.0	257.7	1186	583	0.4916	548	30	5	43	1	7	53
SAMPLE	PRJNA622860	SAMN14531023	SRR11474115	Illumina MiSeq	PAIRED	269.7	277.8	1186	598	0.5042	590	5	3	119.5	1	13	64
SAMPLE	PRJNA622860	SAMN14531024	SRR11474104	Illumina MiSeq	PAIRED	126.6	283.9	1186	595	0.5017	574	17	4	61	1	11	63
SAMPLE	PRJNA622860	SAMN14531025	SRR11474094	Illumina MiSeq	PAIRED	203.6	272.1	1186	594	0.5008	590	3	1	95.5	1	11	59
SAMPLE	PRJNA622860	SAMN14531026	SRR11474093	Illumina MiSeq	PAIRED	206.9	255.0	1188	594	0.5	582	10	2	87.0	1	9	61
SAMPLE	PRJNA622860	SAMN14531027	SRR11474092	Illumina MiSeq	PAIRED	168.1	257.4	1187	593	0.4996	578	12	3	70	5	11	61
SAMPLE	PRJNA622860	SAMN14531028	SRR11474130	Illumina MiSeq	PAIRED	253.1	252.5	1186	596	0.5025	590	4	2	111.0	2	10	62
