bioproject	n_correa_biosamples	stage_counts	countries	platform_classes	verification_status_counts	patient_mapping_status_counts	n_distinct_patients_confirmed	public_reads_status_counts	biopsy_site_counts	has_structure_coordinates
PRJDB10121	5	GC:5	Japan	PACBIO_LONG	SOURCE_VERIFIED_PARTIAL:5	NONE:5	0	ENA_FASTQ_LISTED:5	UNKNOWN:5	NO
PRJDB5843	18	GC:18	Japan	PACBIO_LONG	CONFLICT:18	NONE:18	0	ENA_FASTQ_LISTED:18	UNKNOWN:18	NO
PRJNA1011037	1	GC:1	Russia	UNKNOWN	SOURCE_VERIFIED_PARTIAL:1	NONE:1	0	ASSEMBLY_ONLY:1	UNKNOWN:1	NO
PRJNA1013907	1	GC:1	France	ONT_LONG	CONFLICT:1	NONE:1	0	ENA_FASTQ_LISTED:1	GASTRIC_UNSPECIFIED:1	NO
PRJNA1034282	8	GC:4;IM:4	Iran	ILLUMINA_SHORT	REPOSITORY_ONLY:8	NONE:8	0	ENA_FASTQ_LISTED:8	ANTRUM:8	NO
PRJNA1037030	8	GC:1;IM:1;NAG:6	Colombia	ONT_LONG	CONFLICT:8	NONE:8	0	ENA_FASTQ_LISTED:8	GASTRIC_UNSPECIFIED:8	NO
PRJNA1056683	1	GC:1	South Korea	UNKNOWN	NOT_HIGH_PRIORITY:1	NONE:1	0	ASSEMBLY_ONLY:1	UNKNOWN:1	NO
PRJNA1073547	47	AG:1;NAG:46	Sweden	UNKNOWN	REPOSITORY_ONLY:47	NONE:47	0	ASSEMBLY_ONLY:47	ANTRUM:47	NO
PRJNA1103397	6	GC:6	China	ILLUMINA_SHORT	NOT_HIGH_PRIORITY:6	NONE:6	0	ENA_FASTQ_LISTED:6	GASTRIC_UNSPECIFIED:6	NO
PRJNA1136026	38	GC:19;NAG:19	Sweden	UNKNOWN	SOURCE_VERIFIED_PARTIAL:38	NONE:38	0	ASSEMBLY_ONLY:38	GASTRIC_UNSPECIFIED:38	NO
PRJNA1489282	6	NAG:6	China	ILLUMINA_SHORT	REPOSITORY_ONLY:6	NONE:6	0	NCBI_SRA_ONLY_FASTQ_UNCHECKED:6	UNKNOWN:6	NO
PRJNA165757	1	GC:1	Malaysia	UNKNOWN	SOURCE_VERIFIED_PARTIAL:1	NONE:1	0	ASSEMBLY_ONLY:1	GASTRIC_UNSPECIFIED:1	NO
PRJNA203445	75	GC:23;IM:12;NAG:40	Mexico	ILLUMINA_SHORT;UNKNOWN	SOURCE_VERIFIED_PARTIAL:75	NONE:75	0	ASSEMBLY_ONLY:60;ENA_FASTQ_LISTED:15	GASTRIC_UNSPECIFIED:15;UNKNOWN:60	NO
PRJNA219052	1	GC:1	Russia	UNKNOWN	NOT_HIGH_PRIORITY:1	NONE:1	0	ASSEMBLY_ONLY:1	GASTRIC_UNSPECIFIED:1	NO
PRJNA219053	1	GC:1	Russia	UNKNOWN	NOT_HIGH_PRIORITY:1	NONE:1	0	ASSEMBLY_ONLY:1	GASTRIC_UNSPECIFIED:1	NO
PRJNA242766	19	AG:11;IM:8	Nicaragua	ILLUMINA_SHORT	CONFLICT:19	NONE:19	0	ENA_FASTQ_LISTED:19	ANTRUM:12;CORPUS:7	NO
