country_harmonized	NAG	AG	IM	DYS	GC	total_correa	n_verification_statuses	verification_status_counts	n_countries	countries
Belgium	0	0	0	0	2	2	1	CONFLICT:2	1	Belgium
Brazil	0	0	0	0	2	2	1	SOURCE_VERIFIED_PARTIAL:2	1	Brazil
Canada	0	0	4	0	0	4	1	SOURCE_VERIFIED_PARTIAL:4	1	Canada
China	57	117	0	0	32	206	5	CONFLICT:42;NOT_HIGH_PRIORITY:6;REPOSITORY_ONLY:22;SOURCE_VERIFIED_FULL:67;SOURCE_VERIFIED_PARTIAL:69	1	China
Colombia	26	1	29	1	1	58	3	CONFLICT:32;REPOSITORY_ONLY:13;SOURCE_VERIFIED_FULL:13	1	Colombia
France	0	0	0	0	14	14	3	CONFLICT:12;NOT_HIGH_PRIORITY:1;SOURCE_VERIFIED_PARTIAL:1	1	France
Germany	0	110	0	0	0	110	1	CONFLICT:110	1	Germany
Honduras	31	0	0	0	0	31	1	SOURCE_VERIFIED_PARTIAL:31	1	Honduras
India	0	0	0	0	3	3	2	REPOSITORY_ONLY:1;SOURCE_VERIFIED_PARTIAL:2	1	India
Iran	5	1	4	0	4	14	2	REPOSITORY_ONLY:8;SOURCE_VERIFIED_PARTIAL:6	1	Iran
Ireland	0	0	1	0	0	1	1	CONFLICT:1	1	Ireland
Japan	0	0	0	0	41	41	2	CONFLICT:18;SOURCE_VERIFIED_PARTIAL:23	1	Japan
Malaysia	0	0	0	0	1	1	1	SOURCE_VERIFIED_PARTIAL:1	1	Malaysia
Mexico	75	1	24	0	41	141	3	CONFLICT:12;NOT_HIGH_PRIORITY:1;SOURCE_VERIFIED_PARTIAL:128	1	Mexico
Nicaragua	0	20	18	0	0	38	2	CONFLICT:19;REPOSITORY_ONLY:19	1	Nicaragua
Russia	0	0	0	0	3	3	2	NOT_HIGH_PRIORITY:2;SOURCE_VERIFIED_PARTIAL:1	1	Russia
Singapore	0	0	0	0	13	13	2	NOT_HIGH_PRIORITY:2;REPOSITORY_ONLY:11	1	Singapore
South Korea	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	South Korea
Sweden	73	1	0	0	27	101	3	CONFLICT:6;REPOSITORY_ONLY:52;SOURCE_VERIFIED_PARTIAL:43	1	Sweden
UNKNOWN	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	UNKNOWN
United Kingdom	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	United Kingdom
United States	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	United States
Vietnam	0	0	6	0	0	6	1	SOURCE_VERIFIED_PARTIAL:6	1	Vietnam
