bioproject	NAG	AG	IM	DYS	GC	total_correa	n_verification_statuses	verification_status_counts	n_countries	countries
PRJDB10121	0	0	0	0	5	5	1	SOURCE_VERIFIED_PARTIAL:5	1	Japan
PRJDB5843	0	0	0	0	18	18	1	CONFLICT:18	1	Japan
PRJNA1011037	0	0	0	0	1	1	1	SOURCE_VERIFIED_PARTIAL:1	1	Russia
PRJNA1013907	0	0	0	0	1	1	1	CONFLICT:1	1	France
PRJNA1034282	0	0	4	0	4	8	1	REPOSITORY_ONLY:8	1	Iran
PRJNA1037030	6	0	1	0	1	8	1	CONFLICT:8	1	Colombia
PRJNA1056683	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	South Korea
PRJNA1073547	46	1	0	0	0	47	1	REPOSITORY_ONLY:47	1	Sweden
PRJNA1103397	0	0	0	0	6	6	1	NOT_HIGH_PRIORITY:6	1	China
PRJNA1136026	19	0	0	0	19	38	1	SOURCE_VERIFIED_PARTIAL:38	1	Sweden
PRJNA1489282	6	0	0	0	0	6	1	REPOSITORY_ONLY:6	1	China
PRJNA165757	0	0	0	0	1	1	1	SOURCE_VERIFIED_PARTIAL:1	1	Malaysia
PRJNA203445	40	0	12	0	23	75	1	SOURCE_VERIFIED_PARTIAL:75	1	Mexico
PRJNA219052	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	Russia
PRJNA219053	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	Russia
PRJNA242766	0	11	8	0	0	19	1	CONFLICT:19	1	Nicaragua
PRJNA243598	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	United Kingdom
PRJNA264984	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	Mexico
PRJNA276970	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	United States
PRJNA316597	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	France
PRJNA338771	1	0	10	0	1	12	1	CONFLICT:12	1	Mexico
PRJNA342928	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	Singapore
PRJNA342930	0	0	0	0	11	11	1	REPOSITORY_ONLY:11	1	Singapore
PRJNA344000	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	Singapore
PRJNA350256	3	0	0	0	2	5	1	REPOSITORY_ONLY:5	1	Sweden
PRJNA352848	1	0	14	0	0	15	1	CONFLICT:15	1	Colombia
PRJNA360417	5	1	6	1	0	13	1	REPOSITORY_ONLY:13	1	Colombia
PRJNA395900	0	0	1	0	19	20	1	CONFLICT:20	4	Belgium;France;Ireland;Sweden
PRJNA479414	10	1	0	0	1	12	1	SOURCE_VERIFIED_PARTIAL:12	3	France;Iran;Sweden
PRJNA482300	29	20	0	0	38	87	1	SOURCE_VERIFIED_PARTIAL:87	2	China;Japan
PRJNA490474	0	110	0	0	0	110	1	CONFLICT:110	1	Germany
PRJNA494865	0	0	0	0	1	1	1	NOT_HIGH_PRIORITY:1	1	UNKNOWN
PRJNA513874	0	0	0	0	7	7	1	SOURCE_VERIFIED_PARTIAL:7	1	Mexico
PRJNA521871	0	9	10	0	0	19	1	REPOSITORY_ONLY:19	1	Nicaragua
PRJNA601302	31	0	4	0	2	37	1	SOURCE_VERIFIED_PARTIAL:37	3	Brazil;Canada;Honduras
PRJNA604073	6	0	3	0	0	9	1	CONFLICT:9	1	Colombia
PRJNA678459	0	5	0	0	5	10	1	REPOSITORY_ONLY:10	1	China
PRJNA681870	34	1	2	0	9	46	1	SOURCE_VERIFIED_PARTIAL:46	1	Mexico
PRJNA689207	0	0	6	0	0	6	1	SOURCE_VERIFIED_PARTIAL:6	1	Vietnam
PRJNA690879	0	66	0	0	1	67	1	SOURCE_VERIFIED_FULL:67	1	China
PRJNA718481	0	6	0	0	0	6	1	REPOSITORY_ONLY:6	1	China
PRJNA727927	0	0	0	0	2	2	1	SOURCE_VERIFIED_PARTIAL:2	1	India
PRJNA807891	0	0	0	0	1	1	1	REPOSITORY_ONLY:1	1	India
PRJNA816422	22	20	0	0	0	42	1	CONFLICT:42	1	China
PRJNA984677	8	0	5	0	0	13	1	SOURCE_VERIFIED_FULL:13	1	Colombia
