cohort	contrast	locus_class	locus_id	pass_screen	n_callable	callability	n_distinct	minor_count	reason
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00332	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00483	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00049	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00076	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00350	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00055	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00498	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00293	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00103	True	11	1.0	6	3	PASS
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00752	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00390	True	10	0.9091	2	3	PASS
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00019	False	4	0.3636	1	0	CALLABILITY_0.364_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00158	False	9	0.8182	2	1	MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL01050	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00329	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00080	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00377	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00409	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00104	False	7	0.6364	1	0	CALLABILITY_0.636_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00301	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00378	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00341	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00333	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00198	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00497	False	8	0.7273	2	1	CALLABILITY_0.727_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00403	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00037	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00156	False	9	0.8182	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00038	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00099	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00251	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00506	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00073	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00529	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00068	False	4	0.3636	2	1	CALLABILITY_0.364_LT_0.80;MINOR_ALLELE_COUNT_1_LT_2
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00123	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00479	False	8	0.7273	1	0	CALLABILITY_0.727_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00977	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00247	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00139	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00780	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00051	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00469	False	10	0.9091	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00571	False	11	1.0	1	0	MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00170	False	3	0.2727	1	0	CALLABILITY_0.273_LT_0.80;MONOMORPHIC_OR_UNCALLABLE
PRJNA360417	NAG_vs_IM	PRIMARY_TECHNICAL	HPL00393	True	11	1.0	3	4	PASS
