locus_id	motif_class	motif_class_interpretation	g5_primary_association_eligibility	audit_status	known_pv	g7_technical_eligibility	reasons
HPL00001	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00002	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00003	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00004	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00005	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	ORTHOLOGY_AMBIGUOUS	YES	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS;KNOWN_PV_INSUFFICIENT_EMPIRICAL_VALIDATION
HPL00006	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00007	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00008	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00009	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5
HPL00010	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00011	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY
HPL00012	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY
HPL00013	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00014	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00015	DINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	INELIGIBLE_PLATFORM_CONFOUNDED_CALLABILITY	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	PLATFORM_CONFOUNDED_CALLABILITY;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00016	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00017	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00018	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00019	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00020	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00021	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
HPL00022	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE_FLAGGED_PROVISIONAL	NA
HPL00023	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_BOUNDARY_AMBIGUOUS
HPL00024	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00025	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	PENDING_G7	BOUNDARY_STABLE	NO	ELIGIBLE	NA
HPL00026	TRINUCLEOTIDE	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	PENDING_G7	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00027	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	ORTHOLOGY_AMBIGUOUS	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_ORTHOLOGY_AMBIGUOUS
HPL00028	MONO_AT	EMPIRICALLY_VALIDATED_EXACT	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	BOUNDARY_STABLE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5
HPL00029	MONO_GC	SUPPORTED_BUT_ALLELE_DIVERSITY_LIMITED	NOT_APPLICABLE_UNCALLABLE_OR_INELIGIBLE	INSUFFICIENT_TO_RESOLVE	NO	NOT_ELIGIBLE	NOT_CALLABLE_OR_NOT_CALLER_ELIGIBLE_UNDER_G5;BOUNDARY_AUDIT_INSUFFICIENT_TO_RESOLVE
