biosample	nearest_genome_1	nearest_genome_1_distance	nearest_genome_2	nearest_genome_2_distance	nearest_genome_3	nearest_genome_3_distance	median_distance_to_all_32_genomes
SAMN16801852	REF_Shi470	0.744507	REF_HPAG1	0.802395	REF_26695	0.804543	0.839234
SAMN16801851	REF_Shi470	0.763142	REF_India7	0.816568	REF_HPAG1	0.820059	0.844598
SAMN16801850	REF_Shi470	0.735777	REF_26695	0.795181	REF_India7	0.796631	0.828354
SAMN16801849	REF_Shi470	0.730159	REF_India7	0.771499	REF_26695	0.778999	0.81376
SAMN16801848	REF_Shi470	0.744507	REF_India7	0.802395	REF_26695	0.805257	0.833139
SAMN16801847	REF_Shi470	0.75	REF_26695	0.803828	REF_India7	0.807394	0.837885
SAMN16801846	REF_Shi470	0.750781	REF_HPAG1	0.797354	REF_26695	0.800959	0.831776
SAMN16801845	REF_Shi470	0.744507	REF_26695	0.808815	REF_India7	0.810232	0.843262
SAMN16801844	REF_Shi470	0.748436	REF_India7	0.80024	REF_26695	0.800959	0.831093
SAMN16801843	REF_Shi470	0.77451	REF_26695	0.825602	REF_India7	0.826979	0.852553
