sample_id	REF_26695	REF_J99	REF_HPAG1	REF_G27	REF_P12	REF_B8	REF_Shi470	REF_India7	SAMN10919737	SAMN10919736	SAMN10919734	SAMN10919735	SAMN10919733	SAMN10919731	SAMN10919732	SAMN10919729	SAMN10919730	SAMN10919728	SAMN10919727	SAMN10919726	SAMN10919725	SAMN10919724	SAMN10919723	SAMN10919722	SAMN10919721	SAMN10919720	SAMN10919719	SAMN10919718	SAMN10919717	SAMN10919716	SAMN10919715	SAMN10919714	SAMN16801852	SAMN16801851	SAMN16801850	SAMN16801849	SAMN16801848	SAMN16801847	SAMN16801846	SAMN16801845	SAMN16801844	SAMN16801843
REF_26695	0.000000	0.770744	0.699610	0.686802	0.693664	0.697917	0.740554	0.724490	0.742138	0.766954	0.724490	0.742929	0.758535	0.770744	0.710509	0.776010	0.710509	0.738170	0.775260	0.775260	0.745295	0.731769	0.765432	0.727735	0.734177	0.768473	0.744507	0.766194	0.751561	0.725303	0.734177	0.745295	0.804543	0.822144	0.795181	0.778999	0.805257	0.803828	0.800959	0.808815	0.800959	0.825602
REF_J99	0.770744	0.000000	0.770744	0.753894	0.766954	0.766954	0.800240	0.772253	0.728544	0.680739	0.727735	0.774510	0.685940	0.702983	0.750000	0.702983	0.762376	0.730159	0.682477	0.685940	0.683344	0.719590	0.698764	0.738966	0.751561	0.678996	0.706339	0.699610	0.695369	0.727735	0.733376	0.710509	0.853211	0.857796	0.846597	0.839907	0.858447	0.854525	0.852553	0.849914	0.850575	0.865570
REF_HPAG1	0.699610	0.770744	0.000000	0.695369	0.708010	0.722861	0.741347	0.702141	0.738966	0.756992	0.726115	0.720409	0.763142	0.763906	0.704663	0.763906	0.720409	0.743719	0.750000	0.766954	0.756219	0.716303	0.749218	0.733376	0.729352	0.756992	0.746867	0.770744	0.747652	0.722045	0.736576	0.729352	0.802395	0.820059	0.806683	0.781973	0.811646	0.814464	0.797354	0.813056	0.802395	0.827667
REF_G27	0.686802	0.753894	0.695369	0.000000	0.691099	0.697917	0.750781	0.714653	0.737374	0.746867	0.724490	0.716303	0.746082	0.762376	0.715478	0.755445	0.712999	0.729352	0.744507	0.739761	0.737374	0.720409	0.757764	0.722045	0.708844	0.750000	0.743719	0.766194	0.735777	0.715478	0.726926	0.742929	0.820059	0.821450	0.803828	0.789346	0.813760	0.824221	0.817268	0.829040	0.821450	0.836533
REF_P12	0.693664	0.766954	0.708010	0.691099	0.000000	0.696219	0.763142	0.722045	0.734978	0.773758	0.721228	0.738170	0.760074	0.776758	0.706339	0.766194	0.717949	0.738170	0.774510	0.768473	0.742929	0.728544	0.770744	0.723676	0.712999	0.766954	0.740554	0.761610	0.740554	0.722861	0.717949	0.756219	0.811646	0.820059	0.813056	0.785671	0.809524	0.815867	0.807394	0.820755	0.810939	0.836533
REF_B8	0.697917	0.766954	0.722861	0.697917	0.696219	0.000000	0.759305	0.728544	0.734978	0.756992	0.722861	0.742138	0.753894	0.764670	0.714653	0.769231	0.738966	0.726926	0.760843	0.772253	0.744507	0.728544	0.763142	0.738966	0.722045	0.754670	0.725303	0.759305	0.753894	0.718770	0.720409	0.745295	0.805970	0.821450	0.799520	0.792271	0.815166	0.814464	0.808105	0.821450	0.807394	0.835178
REF_Shi470	0.740554	0.800240	0.741347	0.750781	0.763142	0.759305	0.000000	0.739761	0.779744	0.786408	0.778999	0.773758	0.787879	0.799520	0.774510	0.787879	0.776010	0.769988	0.786408	0.791541	0.795181	0.781973	0.795906	0.771499	0.756992	0.790079	0.779744	0.789346	0.784933	0.768473	0.769231	0.781231	0.744507	0.763142	0.735777	0.730159	0.744507	0.750000	0.750781	0.744507	0.748436	0.774510
REF_India7	0.724490	0.772253	0.702141	0.714653	0.722045	0.728544	0.739761	0.000000	0.746082	0.767714	0.745295	0.742929	0.775260	0.775260	0.727735	0.774510	0.732573	0.743719	0.781973	0.778253	0.786408	0.746082	0.775260	0.753894	0.749218	0.776010	0.756219	0.781973	0.767714	0.748436	0.752339	0.744507	0.811646	0.816568	0.796631	0.771499	0.802395	0.807394	0.804543	0.810232	0.800240	0.826979
SAMN10919737	0.742138	0.728544	0.738966	0.737374	0.734978	0.734978	0.779744	0.746082	0.000000	0.678123	0.671979	0.756219	0.686802	0.711340	0.717126	0.663102	0.733376	0.639456	0.718770	0.703824	0.716303	0.690242	0.703824	0.695369	0.680739	0.666667	0.660415	0.627316	0.661312	0.682477	0.621640	0.720409	0.816568	0.831093	0.815867	0.794454	0.824221	0.814464	0.817268	0.816568	0.819362	0.840580
SAMN10919736	0.766954	0.680739	0.756992	0.746867	0.773758	0.756992	0.786408	0.767714	0.678123	0.000000	0.739761	0.773006	0.578536	0.638530	0.745295	0.631075	0.754670	0.691099	0.690242	0.646820	0.699610	0.726926	0.606272	0.738966	0.730964	0.569385	0.685076	0.636673	0.659517	0.736576	0.711340	0.702983	0.850575	0.849914	0.847262	0.825602	0.857796	0.857143	0.843262	0.847926	0.847926	0.862990
SAMN10919734	0.724490	0.727735	0.726115	0.724490	0.721228	0.722861	0.778999	0.745295	0.671979	0.739761	0.000000	0.742929	0.708844	0.696219	0.702141	0.711340	0.713826	0.681608	0.729352	0.730159	0.707175	0.616874	0.740554	0.605300	0.719590	0.722045	0.703824	0.717126	0.720409	0.554913	0.659517	0.709677	0.839234	0.849252	0.825602	0.815166	0.835178	0.834499	0.833139	0.843262	0.825602	0.852553
SAMN10919735	0.742929	0.774510	0.720409	0.716303	0.738170	0.742138	0.773758	0.742929	0.756219	0.773006	0.742929	0.000000	0.759305	0.782715	0.719590	0.773006	0.717949	0.742929	0.748436	0.758535	0.762376	0.725303	0.776010	0.734978	0.752339	0.755445	0.753894	0.779744	0.772253	0.733376	0.744507	0.757764	0.844598	0.849252	0.835178	0.813056	0.838560	0.843931	0.827667	0.845266	0.833819	0.853211
SAMN10919733	0.758535	0.685940	0.763142	0.746082	0.760074	0.753894	0.787879	0.775260	0.686802	0.578536	0.708844	0.759305	0.000000	0.641304	0.738966	0.681608	0.751561	0.684211	0.708844	0.649561	0.691956	0.716303	0.613999	0.697917	0.732573	0.594519	0.706339	0.680739	0.692810	0.675497	0.692810	0.711340	0.846597	0.849914	0.839907	0.827667	0.847926	0.851894	0.835856	0.843931	0.839234	0.864926
SAMN10919731	0.770744	0.702983	0.763906	0.762376	0.776758	0.764670	0.799520	0.775260	0.711340	0.638530	0.696219	0.782715	0.641304	0.000000	0.746082	0.673740	0.750000	0.697917	0.711340	0.654105	0.694517	0.715478	0.667555	0.726115	0.747652	0.637602	0.691956	0.691099	0.688525	0.714653	0.709677	0.704663	0.851894	0.859099	0.843931	0.830409	0.855835	0.856489	0.848590	0.854525	0.845932	0.864282
SAMN10919732	0.710509	0.750000	0.704663	0.715478	0.706339	0.714653	0.774510	0.727735	0.717126	0.745295	0.702141	0.719590	0.738966	0.746082	0.000000	0.743719	0.694517	0.714653	0.734177	0.750000	0.738966	0.702141	0.742929	0.716303	0.710509	0.730159	0.722861	0.745295	0.734978	0.699610	0.712170	0.730159	0.821450	0.829725	0.819362	0.798077	0.826979	0.817967	0.818665	0.820059	0.829040	0.840580
SAMN10919729	0.776010	0.702983	0.763906	0.755445	0.766194	0.769231	0.787879	0.774510	0.663102	0.631075	0.711340	0.773006	0.681608	0.673740	0.743719	0.000000	0.763906	0.697917	0.691956	0.654105	0.703824	0.716303	0.664887	0.726926	0.724490	0.629198	0.691099	0.615917	0.630137	0.722861	0.717126	0.711340	0.848590	0.850575	0.843931	0.826291	0.851894	0.856489	0.849252	0.850575	0.839234	0.857143
SAMN10919730	0.710509	0.762376	0.720409	0.712999	0.717949	0.738966	0.776010	0.732573	0.733376	0.754670	0.713826	0.717949	0.751561	0.750000	0.694517	0.763906	0.000000	0.719590	0.750000	0.760074	0.738966	0.720409	0.756219	0.710509	0.722861	0.754670	0.738170	0.758535	0.742929	0.701299	0.722861	0.744507	0.824912	0.844598	0.830409	0.800959	0.832458	0.837209	0.827667	0.840580	0.831093	0.849252
SAMN10919728	0.738170	0.730159	0.743719	0.729352	0.738170	0.726926	0.769988	0.743719	0.639456	0.691099	0.681608	0.742929	0.684211	0.697917	0.714653	0.697917	0.719590	0.000000	0.737374	0.708010	0.707175	0.680739	0.697917	0.701299	0.701299	0.691956	0.684211	0.706339	0.710509	0.652291	0.427673	0.704663	0.827667	0.837885	0.824912	0.810939	0.829725	0.831776	0.826291	0.839907	0.818665	0.847926
SAMN10919727	0.775260	0.682477	0.750000	0.744507	0.774510	0.760843	0.786408	0.781973	0.718770	0.690242	0.729352	0.748436	0.708844	0.711340	0.734177	0.691956	0.750000	0.737374	0.000000	0.692810	0.693664	0.718770	0.719590	0.712170	0.739761	0.677249	0.713826	0.679868	0.690242	0.722045	0.755445	0.707175	0.854525	0.851235	0.841922	0.836533	0.849252	0.853868	0.844598	0.852553	0.850575	0.862344
SAMN10919726	0.775260	0.685940	0.766954	0.739761	0.768473	0.772253	0.791541	0.778253	0.703824	0.646820	0.730159	0.758535	0.649561	0.654105	0.750000	0.654105	0.760074	0.708010	0.692810	0.000000	0.685076	0.728544	0.662207	0.730964	0.735777	0.652291	0.717126	0.655914	0.679868	0.739761	0.731769	0.705502	0.853211	0.854525	0.846597	0.835856	0.856489	0.858447	0.858447	0.849252	0.852553	0.862990
SAMN10919725	0.745295	0.683344	0.756219	0.737374	0.742929	0.744507	0.795181	0.786408	0.716303	0.699610	0.707175	0.762376	0.691956	0.694517	0.738966	0.703824	0.738966	0.707175	0.693664	0.685076	0.000000	0.707175	0.706339	0.702141	0.726926	0.702141	0.694517	0.661312	0.687664	0.704663	0.693664	0.719590	0.850575	0.851894	0.840580	0.834499	0.853211	0.857796	0.849914	0.847926	0.842593	0.860399
SAMN10919724	0.731769	0.719590	0.716303	0.720409	0.728544	0.728544	0.781973	0.746082	0.690242	0.726926	0.616874	0.725303	0.716303	0.715478	0.702141	0.716303	0.720409	0.680739	0.718770	0.728544	0.707175	0.000000	0.736576	0.624484	0.693664	0.717949	0.704663	0.712999	0.722861	0.586572	0.653199	0.704663	0.837885	0.845932	0.826979	0.813760	0.830409	0.837885	0.833819	0.844598	0.833139	0.858447
