biosample	run_accession	locus_id	g7_locus_class	member_used	member_conflict	callable	uncallable_reason	spanning_reads	dominant_bp	dominant_fraction	confidence_class	mixed_flag	functional_state
SAMN16801843	SRR13089486	HPL00001	PRIMARY_TECHNICAL	HPL00001_26695	NONE	YES	.	49	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00002	PRIMARY_TECHNICAL	HPL00002_P12	NONE	YES	.	54	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00007	PRIMARY_TECHNICAL	HPL00007_26695	NONE	YES	.	72	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00008	PRIMARY_TECHNICAL	HPL00008_26695	NONE	YES	.	43	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00010	PRIMARY_TECHNICAL	HPL00010_Shi470	NONE	YES	.	42	15	0.8095	MEDIUM	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00013	PRIMARY_TECHNICAL	HPL00013_J99	NONE	YES	.	51	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00014	PRIMARY_TECHNICAL	HPL00014_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00018	PROVISIONAL_TECHNICAL	HPL00018_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00019	PRIMARY_TECHNICAL	HPL00019_26695	NONE	NO	NO_SPANNING_READS	0			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00022	PROVISIONAL_TECHNICAL	HPL00022_P12	NONE	YES	.	31	14	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00024	PRIMARY_TECHNICAL	HPL00024_26695	NONE	YES	.	26	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00025	PRIMARY_TECHNICAL	HPL00025_26695	NONE	YES	.	48	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00030	PROVISIONAL_TECHNICAL	HPL00030_HPAG1	NONE	YES	.	39	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00031	PROVISIONAL_TECHNICAL	HPL00031_26695	NONE	YES	.	53	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00033	PROVISIONAL_TECHNICAL	HPL00033_P12	NONE	YES	.	67	11	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00037	PRIMARY_TECHNICAL	HPL00037_26695	NONE	YES	.	55	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00038	PRIMARY_TECHNICAL	HPL00038_26695	NONE	YES	.	33	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00040	PRIMARY_TECHNICAL	HPL00040_HPAG1	NONE	YES	.	48	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00042	PRIMARY_TECHNICAL	HPL00042_Shi470	NONE	YES	.	41	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00043	PRIMARY_TECHNICAL	HPL00043_26695	NONE	YES	.	34	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00044	PRIMARY_TECHNICAL	HPL00044_26695	MEMBER_ALLELE_CONFLICT:HPL00044_Shi470	NO	MEMBER_ALLELE_CONFLICT	57	8	1.0000	NA	NONE	UNCALLABLE
SAMN16801843	SRR13089486	HPL00045	PROVISIONAL_TECHNICAL	HPL00045_P12	NONE	NO	INSUFFICIENT_SPANNING_READS(5<8)	5			NA	NA	UNCALLABLE
SAMN16801843	SRR13089486	HPL00046	PROVISIONAL_TECHNICAL	HPL00046_HPAG1	NONE	YES	.	42	12	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00047	PRIMARY_TECHNICAL	HPL00047_Shi470	NONE	YES	.	21	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00049	PRIMARY_TECHNICAL	HPL00049_Shi470	NONE	YES	.	44	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00050	PRIMARY_TECHNICAL	HPL00050_26695	NONE	YES	.	50	8	1.0000	HIGH	NONE	ALLELE_STATE
SAMN16801843	SRR13089486	HPL00051	PRIMARY_TECHNICAL	HPL00051_26695	NONE	YES	.	45	8	1.0000	HIGH	NONE	ALLELE_STATE
